Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359769aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359771aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359772aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359773aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359775aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359776aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359778aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359779aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359780aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359781aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359783aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359784aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359785aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359786aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359787aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359788aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359789aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359790aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359791aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359795aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359796aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359797aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359798aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359802aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359803aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359804aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359809aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC2_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC3_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC4_MWY-24-5969-02-b_human_DIA_Astral_2.mzML
Q9HAJ7	Q9HAJ7	SP30L_HUMAN	SAP30L	Histone deacetylase complex subunit SAP30L	14883.6	9712.97	13986.9	10212.9	13876.3	9747.95	15081	14172.9	3305	9344.92	9696.45	16137.1	14935.1	10576.3	8756.09	13177.7	10176.4	13219.6	5328.47	11526.2	9809	16194.5	13855.8	5864.3	14186.7	11697.6	12097	11971	15096.8	9757.11	12040.4
Q9HAN9	Q9HAN9	NMNA1_HUMAN	NMNAT1	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1	130355	183989	118217	135368	173048	147109	159384	152902	129188	142318	177806	185902	247126	203207	200574	166484	94719.9	205315	137513	144668	163977	150687	201297	88003.4	204427	171219	136974	167401	187212	172056	174825
Q9HAP2	Q9HAP2;F5H0V4;H0YGR9	MLXIP_HUMAN	MLXIP	MLX-interacting protein	16139.3	21470.7	18382.3	21799.1	22075.6	22845.1	21209.9	22723	25082	18665.9	31610.3	19068.6	17120	17556.4	14215.7	14762	15027.1	24123	10824.6	19441.6	17309.3	21756.6	16742	13002.4	15395.9	20553.2	13745.1	20294.3	21748.4	17808.8	21953.3
Q9HAR2	Q9HAR2;A0A804HKL8;E7EMR3;E7EN28;E7ENK1;E7ES20;E7ESV6;E7ETE3;E7EUP0;E7EUW2;E7EVD6;E7EW95;E7EX52;E9PBG4	AGRL3_HUMAN	ADGRL3	Adhesion G protein-coupled receptor L3	6616.02	7496.72	6679.6	NA	4275.79	4842.25	5880.18	9459.43	NA	5426.62	8280.65	8297.73	1762.94	7000.62	2747.37	6226.09	3932.9	8329.17	NA	5236.23	4273.5	7655.92	8031.1	NA	6563.63	7829.47	3714.33	10396.8	9785.18	6052.52	8430.42
Q9HAS0	Q9HAS0;J3KRR1;K7EII1;K7EIQ2;K7ERX0	NJMU_HUMAN	C17orf75	Protein Njmu-R1	32998.5	39621.2	43637.3	42893.2	33733.9	35007.5	33087.1	37936.2	13827.1	27711.6	33721.2	35965	29031.1	40577.6	52405.7	30867.4	43449.7	38400.7	22498.3	38507.1	33560.9	41467	47027	48608.4	56563.2	35234.9	44717.1	35448.1	31673.8	31913.4	38035.4
Q9HAS3	Q9HAS3	S28A3_HUMAN	SLC28A3	Solute carrier family 28 member 3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3689.45	NA	NA	NA	2245.89	NA	1740.97	NA	NA	NA	2135.76	NA	NA	NA	NA	NA	NA
Q9HAT2	Q9HAT2	SIAE_HUMAN	SIAE	Sialate O-acetylesterase	54848.1	160150	105438	58195.6	117314	76374.2	141747	89679.1	22386.9	97957	137017	236025	59542.3	163415	62487.9	109236	67088.9	286626	38089.5	101164	140901	150927	246112	32452.5	107917	220404	107874	134513	125447	120482	131935
Q9HAU0	Q9HAU0;A0A9L9PX43;F6VRM0	PKHA5_HUMAN	PLEKHA5	Pleckstrin homology domain-containing family A member 5	60391.3	47506.3	53130.9	31830.7	35643.6	33020.5	69817.1	49003.2	24805.3	62949.3	46888.3	43334.5	42400.2	45353.1	42101.8	45907.7	53903.5	49908	42783.9	40150.4	38008.9	37073.9	48704.4	37813	34998.8	53402.7	41862	47567.4	48636.5	51078.2	46408.9
Q9HAU5	Q9HAU5	RENT2_HUMAN	UPF2	Regulator of nonsense transcripts 2	62727.8	42624.9	35815.7	63892.1	45460.8	50448.7	45306.8	54579.4	40217.4	56396.8	46889	49362.1	53161.3	51814.7	43316.7	47657.6	39957.4	41891.5	60707	55362.9	46152.8	46776.9	37703.1	40424.5	44925	43785.8	58021.8	47566.2	50633.4	52341.6	49013.8
Q9HAU8	Q9HAU8	RNPL1_HUMAN	RNPEPL1	Aminopeptidase RNPEPL1	6543.14	1833.58	4018.02	4614.44	5020.99	5555.63	4547	NA	NA	3849.75	NA	3709.47	3849.44	2978.04	2466.82	6031.83	4666.53	4190.32	3970.13	5519.54	4394.46	4579.97	3649.74	6773.84	5499.66	6290.8	6166.66	5167.94	NA	6129.85	4794.73
Q9HAV0	Q9HAV0;A0A6Q8PG88;A0A7I2S2S9	GBB4_HUMAN	GNB4	Guanine nucleotide-binding protein subunit beta-4	110928	117704	55501.8	179604	76880	177184	89558.5	123649	294630	46077	212743	114945	46295.6	88174.3	43093.2	79408	71791	100152	68866.9	64355.3	91502.3	100064	82662.1	125450	117608	91209.5	73478.8	128797	123345	133710	121815
Q9HAV4	Q9HAV4;H0Y9I3	XPO5_HUMAN	XPO5	Exportin-5	64046.9	39115.5	50939.3	48556.9	61589.7	60298.6	69512.8	65387.1	26778.7	111243	38286.1	36278.2	87031.5	52819.6	110916	77162.7	74747.9	39080.1	94604	93482	71091.6	65073.5	31889.7	73376.9	51738.2	56224.2	97279	58464.7	58032	58602.3	57524.5
Q9HAV7	Q9HAV7	GRPE1_HUMAN	GRPEL1	GrpE protein homolog 1, mitochondrial	365282	223412	301437	184705	275850	206693	212862	281115	88714.6	187611	135104	168972	607663	312551	366824	307749	331453	246567	386466	338497	241616	171888	169297	313813	265962	226298	259720	253704	267404	264715	247853
Q9HAW4	Q9HAW4;E7ESG2	CLSPN_HUMAN	CLSPN	Claspin	NA	NA	NA	NA	1380.03	NA	NA	1540.35	NA	1194.82	NA	NA	869.089	NA	1599.78	669.104	NA	NA	1273.53	1022.24	NA	NA	NA	1567.35	NA	NA	NA	NA	NA	NA	NA
Q9HAW8	Q9HAW8	UD110_HUMAN	UGT1A10	UDP-glucuronosyltransferase 1A10	56046.2	219254	89043.1	109411	65624.1	28766.5	137801	82470	26854.4	99730.9	143680	192836	18838.7	211317	12546	109461	39948.3	140836	281479	83772.5	106067	78224.3	197183	9327.56	159952	204555	56322.3	128896	106410	123635	116354
Q9HAW9	O60656;Q9HAW7;Q9HAW9;H0Y8D7	UD18_HUMAN	UGT1A8	UDP-glucuronosyltransferase 1A8	13925.1	28449.6	NA	NA	6300.1	NA	20281.2	15632.7	NA	11796.5	14090.1	25595	NA	28148.1	NA	15045.2	5236.5	19719.2	NA	13876.3	15346.2	11363.8	27666.5	NA	22555	24789.2	5533.27	23916.9	17705.2	19647.7	22538.3
Q9HAY6	Q9HAY6;H3BPA2;H3BV18	BCDO1_HUMAN	BCO1	Beta,beta-carotene 15,15'-dioxygenase	NA	2262.97	NA	NA	1055.31	NA	NA	284.911	NA	NA	NA	3181.52	NA	1862.17	NA	4380.74	NA	1022.04	NA	1319.46	1622.82	NA	2724.57	NA	1793.98	5560.88	NA	NA	NA	4773.57	NA
Q9HB07	Q9HB07;F8VR84	MYG1_HUMAN	MYG1	MYG1 exonuclease	72851.4	60932.9	89179.1	85211.6	91831.4	81940.9	95406.6	102457	62727	117380	58652.1	71218.2	81023.2	74274.4	99632.4	88862.5	106536	72919	89283.4	92362.3	81988.7	80795.9	71303.1	86999.2	74566.7	73944.1	80654.5	80188.3	78536	77076.6	74086.3
Q9HB09	Q9HB09;A0A087WSV0;A0A0X8ASA9;A0A0X8AT42;A0A0X8AXX1;A0A0X9JZX1	B2L12_HUMAN	BCL2L12	Bcl-2-like protein 12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7780.56	NA	304.62	NA	NA	NA	8653.36	NA	NA	NA	NA	10342.5	NA	NA	NA	NA	NA	NA	NA
Q9HB19	Q9HB19;A0A087WZ32;E5RGP3;E5RHB5	PKHA2_HUMAN	PLEKHA2	Pleckstrin homology domain-containing family A member 2	41400	35862.6	21706	31328.4	36386.8	30771.8	25838.6	33419.5	40742.8	22844.9	37863.4	25079.8	55613.2	19399.9	20414.2	27781.6	24942.1	23152.8	29162.5	29798.3	31084.4	29904.3	22614.8	30018.4	30064.5	21919.8	24029	31633.8	34419.1	32318.1	31529.1
Q9HB20	Q9HB20;F8WCR7	PKHA3_HUMAN	PLEKHA3	Pleckstrin homology domain-containing family A member 3	23526.8	23240	22791.6	25916.7	19504	21803.8	21037	21860.2	NA	15554.2	21768.6	22632.7	21757.6	20559.6	20229.1	28470.5	14399.3	23511.6	24640.4	21522.6	18371.5	19535.1	23984.9	22986.9	27533.5	23829.4	21870.7	17188.9	NA	15825.8	17375.5
Q9HB21	Q9HB21;Q5RGS4	PKHA1_HUMAN	PLEKHA1	Pleckstrin homology domain-containing family A member 1	35403.2	35256	36762	23732.3	28146	29787.5	30825.2	29313.4	32930.9	26427.1	23956.9	27248.5	40570.9	31753.8	38099.9	30519.5	60684.7	28108.5	23334.6	31410.9	37412.5	23961.1	34959.3	17939.6	27860.7	20517.4	30858.8	28042	39685.1	33530.7	34128.4
Q9HB40	Q9HB40	RISC_HUMAN	SCPEP1	Retinoid-inducible serine carboxypeptidase	123570	158194	109099	214428	116540	169873	187566	201486	108522	103989	207215	156670	79558.6	145804	74118.2	131250	230751	146019	96713.6	105897	200255	215688	146675	231731	176786	154479	105406	134639	151266	150838	149051
Q9HB58	Q9HB58;A0A8V8TLE9;A0A8V8TLH4;G5E9C0	SP110_HUMAN	SP110	Sp110 nuclear body protein	68849.1	93297.4	28094.3	159985	39994.1	104355	67296.5	103225	157669	80912	108332	92388.5	28044.5	56216.9	63207.7	77025	58691.5	71612.6	97652.4	86635.9	62951.7	64888	66428.8	188847	79869.4	74330.4	63885.7	84492.4	75824.8	114209	52196.7
Q9HB63	Q9HB63;A0A6I8PS14;F8W0I7	NET4_HUMAN	NTN4	Netrin-4	26219.4	27935.5	27880.2	15632.2	12588	73082.7	8960.6	31632.8	65278.6	11107.4	98608.9	21587.5	13524.3	30102.3	3587.32	16968.4	22135.6	25634.4	NA	10820.3	18048.4	19026	21565.7	51706.1	22575.3	24558.3	16375.6	32881.1	60986.1	44399.9	45156.3
Q9HB66	Q9HB66	Q9HB66_HUMAN	MKKS	Alternative protein MKKS	264899	165499	246798	115727	119093	121176	165628	170146	73533.4	104941	65453.9	119503	215823	104652	185144	138464	110143	103467	127656	239312	83721.5	132790	106174	84663.4	130941	147154	125547	135035	126622	146976	135285
Q9HB71	Q9HB71	CYBP_HUMAN	CACYBP	Calcyclin-binding protein	659555	319821	392021	584923	475281	378584	402621	470694	229510	438687	312977	283544	435321	382417	533207	489695	472565	335388	596635	433929	389658	410970	271568	675350	322937	369476	445157	450298	429586	456223	419126
Q9HB90	Q9HB90	RRAGC_HUMAN	RRAGC	Ras-related GTP-binding protein C	88068.7	94142.3	74610.5	137404	72138.3	104868	80977.9	108414	110851	65276.5	116901	100725	91843.4	87223.8	81384.1	92116.4	61007.3	91371	86285.6	80462.8	96251	80517.6	100544	129832	86207.8	88211.5	100076	91951.4	97951.4	101110	98223.9
Q9HBB8	Q9HBB8	CDHR5_HUMAN	CDHR5	Cadherin-related family member 5	54223.1	106717	44126	46977	25373.7	17565.5	63103.8	30080.1	27068.5	17029.6	21571.6	73493.6	15866.9	50183.7	21905	49006.8	43326	84291.7	25907.5	41792.7	36954	30176.9	75091.8	20616.4	44369.3	73465.9	23062.5	47251.8	48669.9	47007.2	45410.9
Q9HBE1	Q9HBE1	PATZ1_HUMAN	PATZ1	POZ-, AT hook-, and zinc finger-containing protein 1	10358	3295.93	4207.89	5400.75	9620.14	7189.12	6090.3	6354.72	NA	11038.6	NA	3673.46	4623.91	4941.14	9391.52	5738.02	9390.77	5266.93	12691.6	11320.7	6541.39	5595.24	2738.94	7174.98	6389.9	NA	3657.52	7413.2	5156.64	5723.24	8637.69
Q9HBE4	Q9HBE4	IL21_HUMAN	IL21	Interleukin-21	NA	46967.1	67686.7	21663.7	28988.6	36374	34887	19490.6	42577.4	16847	45274.9	41521.3	32076.6	NA	26903.2	NA	22619	NA	15110.3	29934.5	23941.9	29294.8	NA	12133.8	NA	NA	27433	32590.7	30762.2	29896.1	31439.3
Q9HBF4	Q9HBF4;G3V5N8	ZFYV1_HUMAN	ZFYVE1	Zinc finger FYVE domain-containing protein 1	14598.5	12103.3	8908.36	18414.8	14651	17792.6	13545.8	14022.1	21264	9696.72	19698.9	13014.7	13146.3	11190.5	8812.39	10553.3	8722.4	13021.7	7799.32	9793.38	14936.3	13510.5	12670.7	12538.7	12844.9	11464.9	13477.4	11936.2	13297.3	15808.1	13003
Q9HBG6	Q9HBG6;A0A8I5KSG5;A0A8I5KSN5;A0A8I5KVC7;A0A8I5KXT5;A0A8I5QKV2;A0A8I5KP73;A0A8I5KQ16;A0A8I5KR03;A0A8I5KS77;A0A8I5KSV0;A0A8I5KT04;A0A8I5KTL4;A0A8I5KTT9;A0A8I5KUU2;A0A8I5KUV2;A0A8I5KWK4;A0A8I5KX14;A0A8I5KX44;A0A8I5KXC8;A0A8I5KYB6;A0A8I5KYT5;A0A8I5KYX1;A0A8I5QKJ5;A0A8I5QKR8;A0A8I5QKV6;A0A8I5QKX8;A0A8I5QL25;A0A8J9A3C6;D6RIB5;H0Y978	IF122_HUMAN	IFT122	Intraflagellar transport protein 122 homolog	6948.67	8093.08	5226.19	15418.8	9734.7	10359.2	6639.66	7941.38	8681.09	11694.5	9630.54	10651.4	6841.91	9760.52	5437.28	6668.22	10252.3	9383.88	5987.69	6815.92	11602.1	8598.22	7189.24	6149.92	7113.53	7221.67	9336.9	11300.7	15219	8617.25	11735.3
Q9HBG7	Q9HBG7;Q5VYH9;Q5VYI1	LY9_HUMAN	LY9	T-lymphocyte surface antigen Ly-9	NA	12531.6	9780.82	6605.14	6094.42	11317.9	6395.31	6080.48	NA	6836.82	13490.4	NA	NA	6159.4	2952.38	12284.7	6487.7	14433.9	NA	5958.82	9615.5	28113.4	NA	7494.88	10684.1	18047.3	10063.4	11053.2	13789.2	11039.1	6668.13
Q9HBH0	Q9HBH0;F5GXB1	RHOF_HUMAN	RHOF	Rho-related GTP-binding protein RhoF	10389.4	32107.3	20160.3	31834.5	14113.4	16218.7	21763	21146.9	7341.44	26158.3	22722.7	27932.7	9949.14	15034.7	27307.6	13936.9	21285.5	18470.2	30236	15237.9	21164.4	25928.5	21134.2	106211	17839.6	18211.6	27727.4	20513.9	27022.4	22855.7	29454.8
Q9HBH1	Q9HBH1	DEFM_HUMAN	PDF	Peptide deformylase, mitochondrial	52312.2	65222.3	155447	29754.8	70897.3	51304.9	70176.6	59538.1	33480.9	68896.9	42286.6	51803.5	69086.3	62586.9	46859.8	107497	69379.4	71454.4	74693.5	56036.7	54271.4	52464.8	54574.2	79052.2	129098	49307.2	72182.5	63553.2	74373.4	73321.1	60895.3
Q9HBH5	Q9HBH5;C9J2C7	RDH14_HUMAN	RDH14	Retinol dehydrogenase 14	178223	169415	204220	138223	141569	147431	140764	164476	185798	102496	185581	202509	143032	161839	201489	138904	128803	172323	123839	115286	144135	177762	174620	141963	209741	177173	154704	162225	153905	180866	174150
Q9HBH9	Q9HBH9;K7EJ98	MKNK2_HUMAN	MKNK2	MAP kinase-interacting serine/threonine-protein kinase 2	2972.42	NA	NA	NA	3780.22	NA	5421.62	6637.87	NA	NA	NA	NA	5503.67	6751.89	7144.19	NA	10254.4	NA	NA	3109.44	3754.84	7743.76	7605.21	4466.63	3740.74	NA	2958.76	NA	8207.86	NA	4828.81
Q9HBI0	Q9HBI0	PARVG_HUMAN	PARVG	Gamma-parvin	33176.5	43410.1	36288.3	107355	36529.2	49643.2	56484.1	83706.2	40594	33371.8	56219.5	48626.1	17095.4	47942.7	37863.4	47188	60719.6	46940.8	79801.8	43135.6	64680.2	72138.5	44645.1	127420	55674.5	45825.9	67267.3	46073	43319.3	44957.3	44021.4
Q9HBI1	Q9HBI1;A0A087WZB5;B0QYP8	PARVB_HUMAN	PARVB	Beta-parvin	27718.3	28621.9	13980.8	29163.2	9732.22	70173.3	16556.2	38262	61079.5	26242	65944.6	19073.3	13538.1	24582.7	21158.4	23148.1	15531.6	16058.9	36839.1	18266.4	23351.8	19684.4	25267.6	24542	22764.7	19256.3	28696.8	32946.6	34320.8	46232	37739.6
Q9HBI6	Q9HBI6;V9GYP6	CP4FB_HUMAN	CYP4F11	Cytochrome P450 4F11	72004	34913.1	30450.6	41398.1	6033.07	18629.4	32057.3	18594.4	3546.55	24100.3	9157.25	18036.7	3618.11	38134.6	4854.09	3305.27	8131.47	26425.5	58551.8	31355.8	33951.7	22984.3	30669.1	8869.6	3450.38	42194.7	43906.4	25573.5	32010.1	24696.4	26902.8
Q9HBK9	Q9HBK9	AS3MT_HUMAN	AS3MT	Arsenite methyltransferase	20541.8	33415.3	25544.1	44243.4	22159.5	48976.6	21604.6	27690.3	63130.5	9319.54	53548.2	27385.2	29076.9	28683.4	20773.2	20108.1	25110.6	31803.7	NA	26564.3	40657.9	52447.1	46032.4	14909	22830.5	36627.5	21933.6	42981.7	48992.9	43187.5	45482.4
Q9HBL0	Q9HBL0;A0A2R8Y4T1;A0A494C067;H0Y4U1;A0A994J515;E9PF55;E9PGF5	TENS1_HUMAN	TNS1	Tensin-1	720987	685242	186526	431892	233326	1844120	253319	455615	3314420	165019	1281240	351370	180076	402052	80298.7	250130	171372	301740	173526	158772	301186	329079	335368	205680	288156	305157	211752	1108180	1117580	1116990	1110270
Q9HBL7	Q9HBL7	PLRKT_HUMAN	PLGRKT	Plasminogen receptor (KT)	226292	232375	326907	322428	218741	102120	107529	232544	99127.6	170908	166654	251169	204785	254590	206005	181176	145614	258760	172662	186345	183490	174700	320687	120333	282479	269372	184119	193184	181465	207539	201253
Q9HBL8	Q9HBL8;I3L1Y8;I3L3I6;I3L3Z0;I3L543	NMRL1_HUMAN	NMRAL1	NmrA-like family domain-containing protein 1	30159.9	42655.4	31174.6	22317.5	29869.4	23402.2	20706.1	36606.7	32853	34963.6	16484.7	28674.9	31458.9	26540	34770.6	34743.5	28997.2	37399.4	44568.1	29757	35777.5	36165	30895.2	33157.3	33049.8	29683.6	31398.3	30668.7	27182.5	31765.8	34033.9
Q9HBM0	Q9HBM0;F8W8C2	VEZA_HUMAN	VEZT	Vezatin	14214.7	12924.1	6422.94	8783.37	6994.77	13238	8245.57	9481.21	15874.5	10342.8	13215.5	11478.8	12617.5	10242.8	12408.3	10992.4	9773.48	9523.76	17833.4	11782.4	11836	8091.87	10023.9	34643.1	9864.79	10503.3	9236.66	11513.7	11632.1	13584	9044.8
Q9HBM1	Q9HBM1	SPC25_HUMAN	SPC25	Kinetochore protein Spc25	8351.96	10365	4270.65	5501.01	18095.6	9520.64	15687.1	11333.4	NA	15214.6	NA	7416.88	15954.3	10026	12102	10285.2	17674	7993.65	12682.6	13978.1	14190.1	11132.4	7939.67	16445.3	11917	10513.5	12813.6	10584.5	7406.96	9735.54	13204.6
Q9HBM6	Q9HBM6	TAF9B_HUMAN	TAF9B	Transcription initiation factor TFIID subunit 9B	16125	15922.2	9712.24	22539.9	9862.03	16475.3	17023.2	15832.8	16762	15392.2	11918.9	14704	12912.3	15757.2	16772	14339.7	14120.9	18595	25413.2	17814.1	23537.3	21518.8	16818.6	9464.36	16959.1	11933.7	18887.5	17233.2	20470.3	17066.8	25208.4
Q9HBR0	Q9HBR0	S38AA_HUMAN	SLC38A10	Solute carrier family 38 member 10	43884.8	52991.2	62884.8	49000	49611.8	47467.7	51649.1	39539.7	24763.4	30327.3	51622.1	52857.8	32480.9	49445.2	53117.3	54853.6	38727.6	51826.1	48281.9	44343.8	53981.6	52125.6	49443.8	31825.3	44552.5	54360.7	35994.4	38984.4	46202.4	40974.6	37787.3
Q9HBU6	Q9HBU6;H0YH69;A0A5K1VW28	EKI1_HUMAN	ETNK1	Ethanolamine kinase 1	23486.9	13505.4	17738.8	11195.3	19510	12019.9	49814	19254.4	8206.85	24795.2	31344	14087.9	11916.3	18349.9	32953.3	15214.8	22185.8	17932.4	25778.7	19065.7	17588.6	14883.9	16612.4	37791.7	19023.3	15079.6	18514	19659.9	19727.4	17559.4	21066.4
Q9HBU9	Q9HBU9;C9J3P7	POPD2_HUMAN	POPDC2	Popeye domain-containing protein 2	11243.7	4938.36	NA	NA	NA	NA	NA	3228.32	53323.1	NA	13607.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2761.26	NA	16131.7	16467.6	14031.8	14647.8
Q9HBW9	Q9HBW9;A0A590UJN9;A0A590UJX8;A0A1W2PP07;A0A590UJU5	AGRL4_HUMAN	ADGRL4	Adhesion G protein-coupled receptor L4	6849.66	6131.87	4363.11	7578.49	2720.81	16570.8	6310	10183.2	NA	7270.37	7047.22	5599.3	5778.39	5138.64	2680.27	1825.4	5238.6	3391.78	7863.33	5050.23	5404.39	4367.4	15396.4	NA	4702.82	3120.79	6189.45	4858.95	5107	6398.42	22130.7
Q9HBY8	Q9HBY8;A0A3B3IT40;F2Z3C8;X6R8H3	SGK2_HUMAN	SGK2	Serine/threonine-protein kinase Sgk2	5463.96	8456.28	6361.13	5796.07	6453.26	1083.01	7949.54	6238.1	NA	5954.6	5819.74	9055.09	10100.3	4685.2	5211	5907.45	7345.67	11112	NA	6279.8	7613.38	3434.98	9312.34	NA	4476.79	7733.58	6748.1	5542.23	3884.87	15001	6500.85
Q9HC07	Q9HC07	TM165_HUMAN	TMEM165	Putative divalent cation/proton antiporter TMEM165	59500.5	63528.9	98601.1	92353.8	83402.1	86629.1	90052.8	91293.3	25389.1	98781.2	51763.7	80336.2	61507.9	86258.3	76680.6	91793.2	70366.2	84383	80835.3	90708.6	104135	82316.2	98046.7	105762	108017	91780.1	98012.1	66200.6	74603	70472	70120.2
Q9HC16	Q9HC16	ABC3G_HUMAN	APOBEC3G	DNA dC->dU-editing enzyme APOBEC-3G	16364.8	23688	28747.8	58731.5	30265	35794.4	35605	55914.1	39257.7	22340.9	48432.4	33848.6	15845.9	27313.1	24390.5	29316.7	22419.7	24136.8	21648.2	27801.1	30455.2	50642.5	22119.8	119692	41447.2	27805.6	42093.6	31297.9	31051	29333.7	30998.3
Q9HC21	Q9HC21	TPC_HUMAN	SLC25A19	Mitochondrial thiamine pyrophosphate carrier	26608.7	24465.9	35099	43886.6	25503.9	29006.7	31324.7	34873.9	17842.1	23241.1	32520.8	26250.1	26387.2	31595.6	35251.6	25282.6	27325.4	22257.1	33981.5	28485.6	25660.2	29832.8	19898.2	36665.2	30837.5	26001.8	26090.4	23418.8	27702.9	33283.7	26428.2
